"PODSTAWOWE DANE O BEZROBOTNYCH ZAREJESTROWNYCH W URZĘDACH PRACY  W LATACH 1990-2026
BASIC DATA ON UNEMPLOYED PERSONS REGISTERED IN LABOUR OFFICES IN THE 1990-2026",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
W końcu roku / miesiąca,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
As of the end of year /month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wyszczególnienie,Specification,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020, 2021,2022,2023,2024,2025,III 2026
0,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,36
Stopa bezrobocia w % (po korektach),Unemployment rate1) in %,"6,1","11,4","13,6","16,4","16,0","14,9","13,2","10,3","10,4","13,1","15,1","17,5","20,0","20,0","19,0","17,6","14,8","11,2","9,5","12,1","12,4","12,5","13,4","13,4","11,4","9,7","8,2","6,6","5,8","5,2","6,8","5,8","5,2","5,1","5,1","5,7","6,1"
,,w liczbach bezwzględnych / in person,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zarejestrowani bezrobotni,Unemployed persons - total,1 126 140,2 155 573,2 509 342,2 889 601,2 838 038,2 628 808,2 359 489,1 826 413,1 831 351,2 349 805,2 702 576,3 115 056,3 216 958,3 175 674,2 999 601,2 773 000,2 309 410,1 746 573,1 473 752,1 892 680,1 954 706,1 982 676,2 136 815,2 157 883,1 825 180,1 563 339,1 335 155,1 081 746,968 888,866 374,1 046 432,895 203,812 301,788 229,786 179,887 865,949 828
 35-44 lata,35-44 ,x,529 603,620 325,729 142,718 299,660 499,608 572,481 285,472 115,588 019,656 452,724 427,721 162,690 375,628 473,567 035,460 186,336 904,273 866,345 393,358 777,373 406,418 101,435 364,382 125,332 887,295 010,250 559,230 053,208 294,260 819,230 176,207 584,201 955,201 883,228 633,246 883
 45-54 lata,45-54 ,x,186 409,231 600,284 166,302 444,297 995,313 467,242 997,263 936,367 743,461 882,572 405,639 326,674 325,681 835,660 180,576 827,443 736,347 923,404 377,397 186,385 315,400 354,403 014,339 614,287 907,239 669,197 004,173 944,157 940,195 961,176 753,165 483,166 587,173 174,200 822,215 277
 55-59 lat,55-59 ,x,38 309,43 565,56 629,48 121,44 225,47 531,25 725,26 018,33 043,38 299,52 608,66 936,82 363,101 346,123 440,132 671,124 584,109 065,141 448,162 611,179 498,207 169,231 861,208 284,185 599,157 411,130 368,111 430,97 221,107 382,94 967,85 001,80 837,79 813,87 204,91 628
 60 i więcej,60 years and more,x,,,,10 015,8 939,10 058,5 973,6 223,8 093,9 244,10 975,12 165,13 299,15 085,17 714,21 471,23 521,19 605,27 756,36 953,46 497,59 495,73 044,83 794,90 310,93 721,66 443,63 215,60 173,67 550,61 791,55 546,51 581,49 031,50 372,52 380
Bezrobotni wg poziomu wykształcenia,Unemployed persons by educational level  ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
wyższe,tertiary,x,64 410,56 563,52 131,47 609,38 886,31 439,25 108,30 152,47 734,69 380,100 463,126 640,140 242,149 416,152 350,140 718,120 232,124 848,178 328,204 679,225 832,250 989,258 815,225 441,200 245,177 559,149 491,136 492,125 187,154 081,127 705,116 569,113 249,116 209,128 317,136 870
policealne i średnie zawodowe/branżowe,post-secondary and vocational secondary,x,482 548,527 858,581 505,570 188,531 649,470 997,364 175,369 276,482 979,561 902,666 019,683 593,673 626,655 806,606 729,508 762,386 232,328 485,418 381,429 867,440 693,472 460,476 074,401 041,340 799,289 313,234 599,212 854,191 614,231 457,196 868,180 192,175 751,176 415,196 593,208 569
średnie ogólnokształcące,general secondary,x,155 466,177 944,193 189,194 424,188 227,151 719,115 168,111 160,142 028,168 738,192 095,199 000,206 073,209 396,211 520,194 866,158 977,150 106,203 800,213 148,214 463,226 270,228 802,191 855,164 558,140 870,117 266,109 113,98 997,125 880,107 118,96 916,96 465,98 287,112 995,121 700
zasadnicze zawodowe/branżowe,basic vocational,x,805 561,964 615,1 131 244,1 118 357,1 025 015,907 749,700 677,697 999,898 191,998 761,1 142 462,1 163 611,1 127 421,1 014 420,903 609,713 917,516 563,422 057,547 725,556 193,555 826,603 912,605 664,504 267,424 924,355 501,281 679,248 495,220 807,260 272,221 509,203 331,196 392,192 797,214 212,227 538
gimnazjalne/podstawowe i poniżej,"lower secondary, primary and incomplete primary",x,647 588,782 362,931 532,907 460,845 031,797 585,621 285,622 764,778 873,903 795,1 014 017,1 044 114,1 028 312,970 563,898 792,751 147,564 569,448 256,544 446,550 819,545 862,583 184,588 528,502 576,432 813,371 912,298 711,261 934,229 769,274 742,242 003,215 293,206 372,202 471,235 748,255 151
